opp,pos,games,fp_avg,pass_yds_avg,rush_yds_avg,rec_avg,rec_yds_avg,tgt_avg,td_avg,season,opp_nick,rank
ARI,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Cardinals,1
ATL,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Falcons,1
BAL,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Ravens,1
BUF,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Bills,1
CAR,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Panthers,1
CHI,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Bears,1
CIN,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Bengals,1
CLE,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Browns,1
DAL,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Cowboys,1
DEN,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Broncos,1
DET,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Lions,1
GB,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Packers,1
HOU,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Texans,1
IND,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Colts,1
JAX,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Jaguars,1
KC,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Chiefs,1
LA,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Rams,1
LAC,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Chargers,1
LV,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Raiders,1
MIA,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Dolphins,1
MIN,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Vikings,1
NE,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Patriots,1
NO,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Saints,1
NYG,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Giants,1
NYJ,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Jets,1
PHI,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Eagles,1
PIT,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Steelers,1
SEA,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Seahawks,1
SF,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,49ers,1
TB,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Buccaneers,1
TEN,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Titans,1
WAS,K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Commanders,1
DET,QB,2,32.01,329.0,38.5,0.0,0.0,0.0,4.0,2026,Lions,1
WAS,QB,2,27.240000000000002,241.0,36.0,0.0,0.0,0.0,3.5,2026,Commanders,2
IND,QB,2,26.97,353.0,28.5,0.0,0.0,0.0,2.5,2026,Colts,3
HOU,QB,2,25.919999999999998,270.5,11.0,0.0,0.0,0.0,3.0,2026,Texans,4
BUF,QB,2,23.12,300.5,11.0,0.0,0.0,0.0,3.0,2026,Bills,5
NYG,QB,2,20.69,251.0,6.5,0.0,0.0,0.0,3.0,2026,Giants,6
PHI,QB,2,18.84,173.5,19.0,0.0,0.0,0.0,2.0,2026,Eagles,7
