article_id,source,headline,description,published,web_url,athlete_ids,team_ids,pulled_at
nfl638071,rotowire_rss,De'Zhaun Stribling: Officially placed on IR,"The 49ers placed Stribling (ankle) on injured reserve Saturday.

        Visit RotoWire.com for more analysis on this update.","Sat, 19 Sep 2026 2:14:00 PM PDT",https://www.rotowire.com//football/player/dezhaun-stribling-19330,,,2026-09-20T01:03:57Z
nfl638061,rotowire_rss,Omar Cooper: Officially on injured reserve,"The Jets placed Cooper (ankle) on injured reserve Saturday, Amanda Vogt of the team's official site reports.

        Visit RotoWire.com for more analysis on this update.","Sat, 19 Sep 2026 1:17:00 PM PDT",https://www.rotowire.com//football/player/omar-cooper-19314,,,2026-09-20T01:03:57Z
nfl638059,rotowire_rss,Zay Flowers: Ruled out for Sunday's game,"Flowers (hamstring) has been downgraded to out for Sunday's game against the Saints.

        Visit RotoWire.com for more analysis on this update.","Sat, 19 Sep 2026 1:11:00 PM PDT",https://www.rotowire.com//football/player/zay-flowers-16919,,,2026-09-20T01:03:57Z
nfl638055,rotowire_rss,Nico Collins: Could miss two games,"Collins may miss two games due to a hamstring injury, Aaron Wilson of KPRC 2 Houston reports.

        Visit RotoWire.com for more analysis on this update.","Sat, 19 Sep 2026 12:56:00 PM PDT",https://www.rotowire.com//football/player/nico-collins-15200,,,2026-09-20T01:03:57Z
nfl638049,rotowire_rss,Aaron Donald: Will return Monday night,"Coach Sean McVay confirmed Saturday that Donald is expected to play Monday versus the Giants, Nate Atkins of The Athletic reports. ""If he said it, he's going,"" McVay noted. ""Whatever Aaron says, I support.""

        Visit RotoWire.com for more analysis on this update.","Sat, 19 Sep 2026 12:06:00 PM PDT",https://www.rotowire.com//football/player/aaron-donald-9391,,,2026-09-20T01:03:57Z
894f33b5-6d1e-4ca4-8a6d-263d8f959c49,cbs_rss,"Aaron Donald returning for Rams' Week 2 matchup with Giants, Sean McVay confirms","Donald will make his season debut Monday night, giving Los Angeles a major reinforcement along its defensive front","Sat, 19 Sep 2026 19:36:00 +0000",https://www.cbssports.com/nfl/news/aaron-donald-rams-giants/,,,2026-09-20T01:03:58Z
e4b5ca36-f9af-4d56-b77c-fe5900ab4f3a,cbs_rss,"NFL Week 2 injury report: Puka Nacua, Joe Burrow questionable, Zay Flowers, Michael Pittman, Kyler Murray out","Joe Burrow appears to be trending toward playing, but Brock Bowers and Zay Flowers face uncertain outlooks while several starting quarterbacks have been ruled out","Sat, 19 Sep 2026 21:08:49 +0000",https://www.cbssports.com/nfl/news/nfl-week-2-injury-report-joe-burrow/,,,2026-09-20T01:03:58Z
ad3faca0-477b-4942-bc88-c3a63de87616,cbs_rss,"2026 Week 2 NFL predictions, odds, picks, best bets: Experts backing Broncos, Cowboys on Sunday","SportsLine's experts have revealed their Week 2 NFL picks and best bets for Sunday, Sept. 20","Sat, 19 Sep 2026 17:33:09 +0000",https://www.cbssports.com/betting/news/2026-week-2-nfl-predictions-odds-picks-best-bets-experts-backing-broncos-cowboys-sunday/,,,2026-09-20T01:03:58Z
468f3727-2ef0-4527-8b9b-8ada0bad4516,cbs_rss,"Jets rookie Omar Cooper Jr. headed to injured reserve, will miss at least four games",Cooper suffered the injury during the first half of New York's Week 1 victory over Tennessee,"Sat, 19 Sep 2026 17:30:38 +0000",https://www.cbssports.com/nfl/news/jets-omar-cooper-injured-reserve/,,,2026-09-20T01:03:58Z
3cbc7375-7ed6-4672-b8a3-3dce201c2978,cbs_rss,"2026 Week 2 NFL picks, predictions, player props at NFL sportsbooks like DraftKings, FanDuel, BetMGM","Bet on Week 2 NFL player props at NFL sportsbooks like DraftKings, FanDuel and BetMGM","Sat, 19 Sep 2026 17:05:31 +0000",https://www.cbssports.com/betting/news/2026-week-2-nfl-picks-predictions-player-props-nfl-sportsbooks-draftkings-fanduel-betmgm/,,,2026-09-20T01:03:58Z
ee786804-f2ec-45c1-9613-f50029e81a4a,cbs_rss,"2026 Week 2 NFL odds, betting lines, spreads, start times: Get Week 2 NFL picks, predictions for every game","SportsLine's model has analyzed the Week 2 NFL schedule and locked in its Week 2 NFL picks, predictions","Sat, 19 Sep 2026 15:41:25 +0000",https://www.cbssports.com/betting/news/2026-week-2-nfl-picks-odds-predictions-betting-lines-spreads/,,,2026-09-20T01:03:58Z
ed65c8d0-7d45-4130-952f-c4de8e4c1402,cbs_rss,"Week 2 NFL betting promos: Get nearly $4,000 in bonuses from top online betting apps, sportsbooks","Top Week 2 NFL betting apps include DraftKings, FanDuel, BetMGM, bet365, Caesars, Fanatics Sportsbook and Hard Rock Bet","Sat, 19 Sep 2026 15:24:49 +0000",https://www.cbssports.com/betting/news/week-2-nfl-betting-promos-get-nearly-4000-bonuses-from-top-online-betting-apps-sportsbooks/,,,2026-09-20T01:03:58Z
c95202a8-ea82-4480-90f6-a60a791b29c7,cbs_rss,"How to bet on 2026 NFL Week 2: Betting odds, trends, tips, schedule, game previews, sportsbook promos, offers","Our NFL betting guide tells you where to bet on NFL Week 2, while providing odds, betting trends, schedule, promo offers, and more","Sat, 19 Sep 2026 15:20:13 +0000",https://www.cbssports.com/betting/news/how-to-bet-on-2026-nfl-week-2-betting-odds-trends-tips-schedule-game-previews-sportsbook-promos-offers/,,,2026-09-20T01:03:58Z
956c965a-0725-4651-890e-00ae436bd8f1,cbs_rss,Bengals vs. Texans: How to watch as Houston attempts to avoid starting 0-2,Everything you need to know to tune into this AFC matchup,"Sat, 19 Sep 2026 18:17:12 +0000",https://www.cbssports.com/nfl/news/bengals-vs-texans-how-to-watch-prediction-preview/,,,2026-09-20T01:03:58Z
