season,week,player,team,position,team_dropbacks,routes,route_pct,targets
2026,1,Devin Duvernay,ARI,WR,39,0.0,0.0,0
2026,1,Elijah Higgins,ARI,TE,39,10.5,0.27,0
2026,1,Hunter Long,ARI,TE,39,13.6,0.35,0
2026,1,Jacoby Brissett,ARI,QB,39,39.0,1.0,0
2026,1,Jalen Brooks,ARI,WR,39,2.0,0.05,0
2026,1,Jeremiyah Love,ARI,RB,39,16.8,0.43,0
2026,1,Kendrick Bourne,ARI,WR,39,26.1,0.67,0
2026,1,Marvin Harrison Jr.,ARI,WR,39,30.8,0.79,0
2026,1,Michael Wilson,ARI,WR,39,33.1,0.85,0
2026,1,Simi Fehoko,ARI,WR,39,3.1,0.08,0
2026,1,Trey McBride,ARI,TE,39,31.2,0.8,0
2026,1,Tyler Allgeier,ARI,RB,39,23.0,0.59,0
2026,1,Zonovan Knight,ARI,RB,39,1.6,0.04,0
2026,1,Austin Hooper,ATL,TE,26,6.0,0.23,0
2026,1,Bijan Robinson,ATL,RB,26,20.0,0.77,0
2026,1,Brian Robinson Jr.,ATL,RB,26,6.5,0.25,0
2026,1,Charlie Woerner,ATL,TE,26,16.1,0.62,0
2026,1,Chris Blair,ATL,WR,26,4.4,0.17,0
2026,1,Cooper Rush,ATL,QB,26,26.0,1.0,0
2026,1,Drake London,ATL,WR,26,25.5,0.98,0
2026,1,Jahan Dotson,ATL,WR,26,16.4,0.63,0
2026,1,Kyle Pitts,ATL,TE,26,16.4,0.63,0
2026,1,Nick Muse,ATL,TE,26,2.1,0.08,0
2026,1,Olamide Zaccheaus,ATL,WR,26,7.8,0.3,0
2026,1,Zachariah Branch,ATL,WR,26,7.8,0.3,0
2026,1,Chris Moore,BAL,WR,30,11.1,0.37,0
2026,1,Derrick Henry,BAL,RB,30,16.2,0.54,0
2026,1,Durham Smythe,BAL,TE,30,18.6,0.62,0
2026,1,Ja'Kobi Lane,BAL,WR,30,12.0,0.4,0
2026,1,Josh Cuevas,BAL,TE,30,2.7,0.09,0
2026,1,Justice Hill,BAL,RB,30,13.8,0.46,0
2026,1,LaJohntay Wester,BAL,WR,30,8.7,0.29,0
2026,1,Lamar Jackson,BAL,QB,30,30.0,1.0,0
2026,1,Mark Andrews,BAL,TE,30,21.6,0.72,0
2026,1,Matthew Hibner,BAL,TE,30,10.2,0.34,0
2026,1,Rasheen Ali,BAL,RB,30,0.0,0.0,0
2026,1,Rashod Bateman,BAL,WR,30,23.4,0.78,0
